0,1,2,3
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.3,linux-64
conda-forge,numpy,1.16.3,linux-64
conda-forge,numpy,1.16.3,linux-64
conda-forge,numpy,1.16.4,linux-64
conda-forge,numpy,1.16.4,linux-64
conda-forge,numpy,1.16.4,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.6,linux-64
conda-forge,numpy,1.16.6,linux-64
conda-forge,numpy,1.16.6,linux-64
conda-forge,numpy,1.17.0,linux-64
conda-forge,numpy,1.17.0,linux-64
conda-forge,numpy,1.17.1,linux-64
conda-forge,numpy,1.17.1,linux-64
conda-forge,numpy,1.17.2,linux-64
conda-forge,numpy,1.17.2,linux-64
conda-forge,numpy,1.17.3,linux-64
conda-forge,numpy,1.17.3,linux-64
conda-forge,numpy,1.17.3,linux-64
conda-forge,numpy,1.17.5,linux-64
conda-forge,numpy,1.17.5,linux-64
conda-forge,numpy,1.17.5,linux-64
conda-forge,numpy,1.17.5,linux-64
conda-forge,numpy,1.17.5,linux-64
conda-forge,numpy,1.17.5,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.1,linux-64
conda-forge,numpy,1.18.4,linux-64
conda-forge,numpy,1.18.4,linux-64
conda-forge,numpy,1.18.4,linux-64
conda-forge,numpy,1.18.4,linux-64
conda-forge,numpy,1.18.5,linux-64
conda-forge,numpy,1.18.5,linux-64
conda-forge,numpy,1.18.5,linux-64
conda-forge,numpy,1.18.5,linux-64
conda-forge,numpy,1.19.0,linux-64
conda-forge,numpy,1.19.0,linux-64
conda-forge,numpy,1.19.0,linux-64
conda-forge,numpy,1.19.0,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
conda-forge,numpy,1.19.1,linux-64
